--------------------------------------------------------------------------------------------------------------------------
Frequent Itemset Summary

Data File: ..\..\mushroom-bin.data

Total number of frequent itemsets generated: 24035

Number of frequent itemsets of length 1: 39
Number of frequent itemsets of length 2: 312
Number of frequent itemsets of length 3: 1127
Number of frequent itemsets of length 4: 2467
Number of frequent itemsets of length 5: 3801
Number of frequent itemsets of length 6: 4544
Number of frequent itemsets of length 7: 4437
Number of frequent itemsets of length 8: 3534
Number of frequent itemsets of length 9: 2224
Number of frequent itemsets of length 10: 1067
Number of frequent itemsets of length 11: 376
Number of frequent itemsets of length 12: 92
Number of frequent itemsets of length 13: 14
Number of frequent itemsets of length 14: 1



Total number of candidate frequent itemsets generated: 24834

Number of candidate frequent itemsets of length 1: 124
Number of candidate frequent itemsets of length 2: 720
Number of candidate frequent itemsets of length 3: 1337
Number of candidate frequent itemsets of length 4: 2538
Number of candidate frequent itemsets of length 5: 3822
Number of candidate frequent itemsets of length 6: 4548
Number of candidate frequent itemsets of length 7: 4437
Number of candidate frequent itemsets of length 8: 3534
Number of candidate frequent itemsets of length 9: 2224
Number of candidate frequent itemsets of length 10: 1067
Number of candidate frequent itemsets of length 11: 376
Number of candidate frequent itemsets of length 12: 92
Number of candidate frequent itemsets of length 13: 14
Number of candidate frequent itemsets of length 14: 1



Total time taken to generate frequent itemsets: 291742 ms
--------------------------------------------------------------------------------------------------------------------------
                                           Frequent Itemset                                                            Occurrence              Support
gill-size_b,veil-color_w                                                                                                   5420             0.667159
gill-size_b,ring-number_o                                                                                                  4976             0.61250615
gill-size_b,ring-type_p                                                                                                    3320             0.4086657
gill-size_b,spore-print-color_n                                                                                            1648             0.20285574
gill-size_b,population_v                                                                                                   1840             0.22648941
gill-size_b,population_y                                                                                                   1640             0.201871
gill-size_b,habitat_p                                                                                                      1828             0.2250123
gill-size_b,habitat_d                                                                                                      1736             0.21368784
gill-size_n,gill-color_b                                                                                                   1728             0.21270311
gill-size_n,stalk-shape_t                                                                                                  1824             0.22451994
gill-size_n,stalk-color-above-ring_w                                                                                       1640             0.201871
gill-size_n,veil-type_p                                                                                                    2512             0.3092073
gill-size_n,veil-color_w                                                                                                   2504             0.30822256
gill-size_n,ring-number_o                                                                                                  2512             0.3092073
gill-size_n,ring-type_e                                                                                                    1816             0.22353521
gill-size_n,spore-print-color_w                                                                                            1824             0.22451994
gill-size_n,population_v                                                                                                   2200             0.27080256
gill-size_n,habitat_p                                                                                                      2224             0.27375677
gill-color_b,stalk-shape_t                                                                                                 1728             0.21270311
gill-color_b,veil-type_p                                                                                                   1728             0.21270311
gill-color_b,veil-color_w                                                                                                  1728             0.21270311
gill-color_b,ring-number_o                                                                                                 1728             0.21270311
gill-color_b,ring-type_e                                                                                                   1728             0.21270311
gill-color_b,spore-print-color_w                                                                                           1728             0.21270311
gill-color_b,population_v                                                                                                  1728             0.21270311
gill-color_b,habitat_p                                                                                                     1728             0.21270311
stalk-shape_e,stalk-root_b                                                                                                 1664             0.20482521
stalk-shape_e,stalk-surface-above-ring_s                                                                                   1960             0.24126047
stalk-shape_e,stalk-surface-below-ring_s                                                                                   1720             0.21171837
stalk-shape_e,stalk-color-above-ring_w                                                                                     1872             0.23042837
stalk-shape_e,stalk-color-below-ring_w                                                                                     1792             0.220581
stalk-shape_e,veil-type_p                                                                                                  3516             0.43279174
stalk-shape_e,veil-color_w                                                                                                 3316             0.40817332
stalk-shape_e,ring-number_o                                                                                                2880             0.35450518
stalk-shape_e,ring-type_p                                                                                                  1856             0.22845888
stalk-shape_e,habitat_p                                                                                                    2036             0.25061545
stalk-shape_t,stalk-root_b                                                                                                 2112             0.25997046
stalk-shape_t,stalk-surface-above-ring_s                                                                                   3216             0.3958641
stalk-shape_t,stalk-surface-below-ring_s                                                                                   3216             0.3958641
stalk-shape_t,stalk-color-above-ring_w                                                                                     2592             0.31905466
stalk-shape_t,stalk-color-below-ring_w                                                                                     2592             0.31905466
stalk-shape_t,veil-type_p                                                                                                  4608             0.5672083
stalk-shape_t,veil-color_w                                                                                                 4608             0.5672083
stalk-shape_t,ring-number_o                                                                                                4608             0.5672083
stalk-shape_t,ring-type_e                                                                                                  2496             0.3072378
stalk-shape_t,ring-type_p                                                                                                  2112             0.25997046
stalk-shape_t,spore-print-color_w                                                                                          1728             0.21270311
stalk-shape_t,population_v                                                                                                 2832             0.34859675
stalk-shape_t,habitat_p                                                                                                    2016             0.24815361
stalk-shape_t,habitat_d                                                                                                    1824             0.22451994
stalk-root_b,stalk-surface-above-ring_s                                                                                    2296             0.2826194
stalk-root_b,stalk-surface-below-ring_s                                                                                    2296             0.2826194
stalk-root_b,veil-type_p                                                                                                   3776             0.46479568
stalk-root_b,veil-color_w                                                                                                  3776             0.46479568
stalk-root_b,ring-number_o                                                                                                 3656             0.4500246
stalk-root_b,ring-type_p                                                                                                   2432             0.29935992
stalk-root_b,population_v                                                                                                  1984             0.24421467
stalk-root_b,habitat_p                                                                                                     1896             0.23338257
stalk-root_b,habitat_d                                                                                                     1832             0.22550468
stalk-surface-above-ring_k,stalk-surface-below-ring_k                                                                      1800             0.22156574
stalk-surface-above-ring_k,veil-type_p                                                                                     2372             0.2919744
stalk-surface-above-ring_k,veil-color_w                                                                                    2372             0.2919744
stalk-surface-above-ring_k,ring-number_o                                                                                   2192             0.26981783
stalk-surface-above-ring_k,habitat_p                                                                                       2228             0.27424914
stalk-surface-above-ring_s,stalk-surface-below-ring_s                                                                      4156             0.51157063
stalk-surface-above-ring_s,stalk-color-above-ring_w                                                                        3304             0.4066962
stalk-surface-above-ring_s,stalk-color-below-ring_w                                                                        3280             0.403742
stalk-surface-above-ring_s,veil-type_p                                                                                     5176             0.6371246
stalk-surface-above-ring_s,veil-color_w                                                                                    4984             0.6134909
stalk-surface-above-ring_s,ring-number_o                                                                                   4736             0.58296406
stalk-surface-above-ring_s,ring-type_p                                                                                     3664             0.45100936
stalk-surface-above-ring_s,spore-print-color_k                                                                             1680             0.20679468
stalk-surface-above-ring_s,spore-print-color_n                                                                             1776             0.21861152
stalk-surface-above-ring_s,population_v                                                                                    2400             0.29542097
stalk-surface-above-ring_s,habitat_p                                                                                       1664             0.20482521
stalk-surface-above-ring_s,habitat_d                                                                                       1872             0.23042837
stalk-surface-below-ring_k,veil-type_p                                                                                     2304             0.28360415
stalk-surface-below-ring_k,veil-color_w                                                                                    2304             0.28360415
stalk-surface-below-ring_k,ring-number_o                                                                                   2160             0.2658789
stalk-surface-below-ring_k,habitat_p                                                                                       2160             0.2658789
stalk-surface-below-ring_s,stalk-color-above-ring_w                                                                        3064             0.3771541
stalk-surface-below-ring_s,stalk-color-below-ring_w                                                                        3040             0.3741999
stalk-surface-below-ring_s,veil-type_p                                                                                     4936             0.60758245
stalk-surface-below-ring_s,veil-color_w                                                                                    4744             0.5839488
stalk-surface-below-ring_s,ring-number_o                                                                                   4496             0.553422
stalk-surface-below-ring_s,ring-type_p                                                                                     3472             0.42737567
stalk-surface-below-ring_s,spore-print-color_n                                                                             1680             0.20679468
stalk-surface-below-ring_s,population_v                                                                                    2376             0.29246676
stalk-surface-below-ring_s,habitat_d                                                                                       1824             0.22451994
stalk-color-above-ring_p,veil-type_p                                                                                       1872             0.23042837
stalk-color-above-ring_p,veil-color_w                                                                                      1872             0.23042837
stalk-color-above-ring_p,ring-number_o                                                                                     1872             0.23042837
stalk-color-above-ring_w,stalk-color-below-ring_w                                                                          3520             0.4332841
stalk-color-above-ring_w,veil-type_p                                                                                       4464             0.549483
stalk-color-above-ring_w,veil-color_w                                                                                      4464             0.549483
stalk-color-above-ring_w,ring-number_o                                                                                     3976             0.4894141
stalk-color-above-ring_w,ring-type_e                                                                                       1808             0.22255047
